Grade,Course,Section,Period,Room,Mark1
9,HGF87QQD,1,2,321,87
9,EEFG4QT,7,2,246,65
10,ULFC4TP,1,2,B39,100
11,UAF88Q3,1,2,B27,80
9,PHF44H2,1,2,B17,95
9,PPF44Q3G,1,2,GYM2,80
11,PGF44Q3C,1,2,GYM1,80
11,SLF88QQ2,1,2,247,80
10,PPF44Q3G,2,2,GYM2,97
10,SCF44,2,2,138,87
9,PPF44Q2G,2,2,GYM2,100
9,PPF44Q3G,2,2,GYM2,100
9,PHF44Q3,1,2,B17,65
9,PPF44Q2G,1,2,GYM2,65
9,MRF44H,2,2,107,93
10,UAF44Q3,1,2,B27,70
12,MQF22C,1,2,207,78
11,SPF44H,1,2,229,95
9,SHFC2TM,1,2,149,100
10,HUF44QWD,1,2,326,80
10,EEF88,1,2,334B,87
12,PPF44Q3B,1,2,GYM3,82
9,SLF44,1,2,338,73
9,EEF88QG,1,2,146,65
9,MKF44,1,2,322,88
9,HUF44QT,1,2,316,65
10,SCF44QG,1,2,139,65
11,FSFCCU,1,2,115,85
11,FLFCCU,1,2,121,86
9,SLF88QQ2,1,2,247,65
9,UAF44Q3,1,2,B27,65
11,SPF44,1,2,229,75
12,BCF44T,31,2,204,90
12,PPF44Q2G,1,2,GYM2,100
9,MKF44,1,2,322,65
12,PGF44Q3C,1,2,GYM1,80
12,EEF84QFT,1,2,331,70
12,SPF44H,1,2,229,98
10,HUF44HWD,1,2,326,90
10,HUF44UQX,1,2,333,100
10,PPF44Q2G,2,2,GYM2,67
10,PPF44Q3G,1,2,GYM2,65
9,EEFG4QG,7,2,246,66
9,SLF44QG,1,2,231,70
10,EEF88QG,1,2,146,88
9,MKF44,1,2,322,85
10,EEF88H,1,2,334B,90
9,PPF44Q3B,1,2,GYM3,65
9,SLF88QQ2,1,2,247,75
12,PQF44Q2Y,2,2,251,100
12,PQF44Q3Y,2,2,251,100
11,HFF44QQB,1,2,315,75
12,EQF44QQY,2,2,328,100
9,EEF84QFT,1,2,331,75
11,PGF44Q2C,1,2,GYM1,95
9,EEFG4QT,7,2,246,82
9,MEF44HG,1,2,208,93
12,MQF22C,1,2,207,95
9,PPF44Q3B,2,2,GYM3,65
12,SLF88QQ3,1,2,247,73
9,PPF44Q2G,2,2,GYM2,97
9,PPF44Q3G,2,2,GYM2,98
10,EEF88QT,1,2,146,81
11,FSFCCU,1,2,115,83
12,FLFCCU,1,2,121,92
9,SLF44QW,1,2,328B,66
9,EEFG4HT,7,2,246,92
9,PPF44Q3B,1,2,GYM3,85
9,UAF44H2,1,2,B27,100
9,HGF87XHD,1,2,325,92
9,FSFC8,2,2,125,65
11,FMF44UQX,1,2,116,100
11,FJFCCU,1,2,124,81
9,HGF87HQD,7,2,313,90
9,EEFG4HT,7,2,246,92
9,PPF44Q2B,2,2,GYM3,100
9,PPF44Q3B,2,2,GYM3,100
10,SCF44,2,2,138,77
12,MQF44QQY,2,2,204A,100
11,EEFGGQQC,1,2,250,73
9,HGF87QTD,5,2,314,65
9,HGF87QGD,5,2,314,65
11,PPF44Q2B,2,2,GYM3,95
11,PPF44Q3B,1,2,GYM3,100
9,SLF44,1,2,338,80
9,HGF87QTD,1,2,334A,70
10,SCF44,1,2,141,75
9,SLF44QW,1,2,328B,65
9,HGF87QQD,1,2,321,65
10,HUF44UQX,1,2,333,100
10,EEF88QG,1,2,146,65
9,SHFC2TM,1,2,149,100
11,SCF44QG,1,2,139,88
9,FSFCCU,1,2,115,70
9,EEF88,1,2,334B,65
11,MQF44QWF,1,2,221,71
10,PPF44Q2B,1,2,GYM3,95
10,UAF44H3,1,2,B27,100
9,PPF44Q2G,1,2,GYM2,100
9,PPF44Q3G,1,2,GYM2,100
9,HGF87QGD,1,2,334A,65
11,EEFGGHQC,1,2,250,91
